Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals,
Initiative Cards-Cultural Campaigns UAE-Impressions-January,Initiative Cards,Cultural Campaigns UAE,Impressions,January,"4,725,286","2,129,788","4,725,286","2,129,788.00",
Initiative Cards-Cultural Campaigns UAE-Impressions-February,Initiative Cards,Cultural Campaigns UAE,Impressions,February,"9,809,950","2,969,176","14,535,236","5,098,964.00",
Initiative Cards-Cultural Campaigns UAE-Impressions-March,Initiative Cards,Cultural Campaigns UAE,Impressions,March,"10,417,627","2,768,315","24,952,863","7,867,279.00",
Initiative Cards-Cultural Campaigns UAE-Impressions-April,Initiative Cards,Cultural Campaigns UAE,Impressions,April,"23,485,026","11,858,333","48,437,889","19,725,612.00",
Initiative Cards-Cultural Campaigns UAE-Impressions-May,Initiative Cards,Cultural Campaigns UAE,Impressions,May,"30,656,299","11,858,333","79,094,188","31,583,945.00",
Initiative Cards-Cultural Campaigns UAE-Impressions-June,Initiative Cards,Cultural Campaigns UAE,Impressions,June,0,"11,858,333","79,094,188","43,442,278.00",
Initiative Cards-Cultural Campaigns UAE-Impressions-July,Initiative Cards,Cultural Campaigns UAE,Impressions,July,0,"9,723,148","79,094,188","53,165,426.00",
Initiative Cards-Cultural Campaigns UAE-Impressions-August,Initiative Cards,Cultural Campaigns UAE,Impressions,August,0,"9,723,148","79,094,188","62,888,574.00",
Initiative Cards-Cultural Campaigns UAE-Impressions-September,Initiative Cards,Cultural Campaigns UAE,Impressions,September,0,"52,080,584","79,094,188","114,969,158.00",
Initiative Cards-Cultural Campaigns UAE-Impressions-October,Initiative Cards,Cultural Campaigns UAE,Impressions,October,0,"56,995,085","79,094,188","171,964,243.00",
Initiative Cards-Cultural Campaigns UAE-Impressions-November,Initiative Cards,Cultural Campaigns UAE,Impressions,November,0,"56,995,085","79,094,188","228,959,328.00",
Initiative Cards-Cultural Campaigns UAE-Impressions-December,Initiative Cards,Cultural Campaigns UAE,Impressions,December,0,"56,995,085","79,094,188","285,954,413.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-January,Initiative Cards,Cultural Campaigns UAE,Engagement,January,"1,053,406","352,133","1,053,406","352,133.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-February,Initiative Cards,Cultural Campaigns UAE,Engagement,February,"870,832","490,915","1,924,238","843,048.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-March,Initiative Cards,Cultural Campaigns UAE,Engagement,March,"988,830","623,043","2,913,068","1,466,091.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-April,Initiative Cards,Cultural Campaigns UAE,Engagement,April,"3,826,439","1,960,624","6,739,507","3,426,715.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-May,Initiative Cards,Cultural Campaigns UAE,Engagement,May,"4,406,813","1,960,624","11,146,320","5,387,339.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-June,Initiative Cards,Cultural Campaigns UAE,Engagement,June,0,"1,960,624","11,146,320","7,347,963.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-July,Initiative Cards,Cultural Campaigns UAE,Engagement,July,0,"1,524,930","11,146,320","8,872,893.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-August,Initiative Cards,Cultural Campaigns UAE,Engagement,August,0,"1,524,930","11,146,320","10,397,823.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-September,Initiative Cards,Cultural Campaigns UAE,Engagement,September,0,"7,806,109","11,146,320","18,203,932.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-October,Initiative Cards,Cultural Campaigns UAE,Engagement,October,0,"8,618,658","11,146,320","26,822,590.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-November,Initiative Cards,Cultural Campaigns UAE,Engagement,November,0,"8,618,658","11,146,320","35,441,248.00",
Initiative Cards-Cultural Campaigns UAE-Engagement-December,Initiative Cards,Cultural Campaigns UAE,Engagement,December,0,"8,618,658","11,146,320","44,059,906.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-January,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,January,"4,818","3,274","4,818","3,274.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-February,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,February,"5,726","4,565","10,544","7,839.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-March,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,March,"7,213","3,794","17,757","11,633.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-April,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,April,"27,999","18,232","45,756","29,865.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-May,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,May,"26,719","18,232","72,475","48,097.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-June,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,June,0,"18,232","72,475","66,329.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-July,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,July,0,"14,180","72,475","80,509.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-August,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,August,0,"14,180","72,475","94,689.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-September,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,September,0,"22,805","72,475","117,494.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-October,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,October,0,"28,361","72,475","145,855.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-November,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,November,0,"28,361","72,475","174,216.00",
Initiative Cards-Cultural Campaigns UAE-Paid Sessions-December,Initiative Cards,Cultural Campaigns UAE,Paid Sessions,December,0,"28,361","72,475","202,577.00",
